reward_mode,lambda,seed,episode,epsilon,steps,return,success,wall_hits,penalty_entries,door_attempts,key_picked,termination_reason
shaped,0.3,17944,7,0.9655206468094842,500,-1012.975,False,85,5,0,False,energy_depleted
shaped,0.3,17944,8,0.9606930435754368,500,-1230.9249999999988,False,119,5,0,False,energy_depleted
shaped,0.3,17944,9,0.9558895783575596,500,-1340.5250000000003,False,152,4,0,True,energy_depleted
shaped,0.3,17944,10,0.9511101304657719,500,-1212.0499999999995,False,122,7,0,True,energy_depleted
shaped,0.3,17944,11,0.946354579813443,500,-1625.9749999999992,False,140,26,0,False,energy_depleted
shaped,0.3,17944,12,0.9416228069143757,500,-1471.0000000000023,False,138,12,0,False,energy_depleted
shaped,0.3,17944,13,0.9369146928798039,500,-942.9249999999998,False,100,12,0,True,energy_depleted
shaped,0.3,17944,14,0.9322301194154049,500,-1198.7750000000003,False,118,1,0,False,energy_depleted
shaped,0.3,17944,15,0.9275689688183278,500,-1272.5999999999963,False,126,3,0,False,energy_depleted
shaped,0.3,17944,16,0.9229311239742362,500,-998.7000000000004,False,102,9,0,True,energy_depleted
shaped,0.3,17944,17,0.918316468354365,500,-1513.049999999999,False,156,5,0,False,energy_depleted
shaped,0.3,17944,18,0.9137248860125932,500,-1243.5749999999982,False,112,9,0,False,energy_depleted
shaped,0.3,17944,19,0.9091562615825302,500,-1353.1749999999977,False,129,8,0,False,energy_depleted
shaped,0.3,17944,20,0.9046104802746175,381,-640.1000000000004,True,81,10,0,True,goal_reached
shaped,0.3,17944,21,0.9000874278732445,500,-1724.4249999999984,False,171,14,0,False,energy_depleted
shaped,0.3,17944,22,0.8955869907338783,500,-1364.050000000004,False,146,17,0,True,energy_depleted
shaped,0.3,17944,23,0.8911090557802088,500,-1022.9249999999993,False,109,8,0,True,energy_depleted
shaped,0.3,17944,24,0.8866535105013078,500,-1144.9999999999995,False,110,4,4,False,energy_depleted
shaped,0.3,17944,25,0.8822202429488012,500,-1687.2249999999979,False,150,25,0,False,energy_depleted
shaped,0.3,17944,26,0.8778091417340572,500,-1385.6499999999994,False,154,7,0,True,energy_depleted
shaped,0.3,17944,27,0.873420096025387,500,-882.675000000001,False,88,13,0,True,energy_depleted
shaped,0.3,17944,28,0.86905299554526,500,-958.999999999999,False,106,14,0,True,energy_depleted
shaped,0.3,17944,29,0.8647077305675337,500,-1235.6750000000004,False,122,3,0,False,energy_depleted
shaped,0.3,17944,30,0.8603841919146961,500,-1258.2999999999995,False,115,9,0,False,energy_depleted
shaped,0.3,17944,31,0.8560822709551226,500,-1460.2499999999968,False,144,8,0,False,energy_depleted
shaped,0.3,17944,32,0.8518018596003469,500,-1349.0000000000007,False,116,17,0,False,energy_depleted
shaped,0.3,17944,33,0.8475428503023452,500,-1925.3749999999989,False,204,10,0,False,energy_depleted
shaped,0.3,17944,34,0.8433051360508335,500,-1197.9499999999982,False,121,1,0,False,energy_depleted
shaped,0.3,17944,35,0.8390886103705792,500,-1864.8249999999978,False,178,21,0,False,energy_depleted
shaped,0.3,17944,36,0.8348931673187264,500,-1196.1000000000006,False,121,10,0,True,energy_depleted
shaped,0.3,17944,37,0.8307187014821328,500,-1308.675000000002,False,157,2,0,True,energy_depleted
shaped,0.3,17944,38,0.826565107974722,500,-1402.2500000000014,False,160,4,0,True,energy_depleted
shaped,0.3,17944,39,0.8224322824348484,500,-1471.4499999999985,False,137,13,0,False,energy_depleted
shaped,0.3,17944,40,0.8183201210226743,500,-1582.6999999999982,False,146,18,0,False,energy_depleted
shaped,0.3,17944,41,0.8142285204175609,500,-1228.9749999999983,False,134,11,0,True,energy_depleted
shaped,0.3,17944,42,0.810157377815473,500,-1491.0249999999974,False,150,6,0,False,energy_depleted
shaped,0.3,17944,43,0.8061065909263957,500,-1262.8250000000005,False,145,9,0,True,energy_depleted
shaped,0.3,17944,44,0.8020760579717637,500,-1323.674999999997,False,122,11,0,False,energy_depleted
shaped,0.3,17944,45,0.7980656776819048,500,-1172.7499999999986,False,104,9,0,False,energy_depleted
shaped,0.3,17944,46,0.7940753492934953,500,-952.049999999999,False,105,7,0,True,energy_depleted
shaped,0.3,17944,47,0.7901049725470278,500,-1640.4999999999977,False,156,15,0,False,energy_depleted
shaped,0.3,17944,48,0.7861544476842928,500,-1701.4749999999967,False,178,6,0,False,energy_depleted
shaped,0.3,17944,49,0.7822236754458712,500,-1443.5249999999955,False,174,18,0,True,energy_depleted
shaped,0.3,81150,0,1.0,500,-1064.9750000000015,False,104,15,0,True,energy_depleted
shaped,0.3,81150,1,0.995,500,-1045.8500000000008,False,112,4,0,True,energy_depleted
shaped,0.3,81150,2,0.990025,500,-1051.9500000000007,False,99,21,0,True,energy_depleted
shaped,0.3,81150,3,0.985074875,500,-973.774999999999,False,97,6,1,True,energy_depleted
shaped,0.3,81150,4,0.980149500625,500,-1425.5499999999986,False,131,13,0,False,energy_depleted
shaped,0.3,81150,5,0.975248753121875,500,-853.750000000001,False,89,4,0,True,energy_depleted
shaped,0.3,81150,6,0.9703725093562656,500,-1302.7250000000013,False,135,13,0,True,energy_depleted
shaped,0.3,81150,7,0.9655206468094842,500,-1082.6999999999978,False,130,14,0,True,energy_depleted
shaped,0.3,81150,8,0.9606930435754368,500,-967.3500000000003,False,108,5,0,True,energy_depleted
shaped,0.3,81150,9,0.9558895783575596,500,-1298.5250000000008,False,142,9,0,True,energy_depleted
shaped,0.3,81150,10,0.9511101304657719,500,-1533.2999999999975,False,138,18,0,False,energy_depleted
shaped,0.3,81150,11,0.946354579813443,500,-1233.7500000000005,False,143,4,0,True,energy_depleted
shaped,0.3,81150,12,0.9416228069143757,500,-1175.050000000001,False,124,6,0,True,energy_depleted
shaped,0.3,81150,13,0.9369146928798039,500,-1406.9249999999984,False,141,5,0,False,energy_depleted
shaped,0.3,81150,14,0.9322301194154049,500,-1054.8000000000015,False,114,6,0,True,energy_depleted
shaped,0.3,81150,15,0.9275689688183278,500,-990.5250000000001,False,105,9,0,True,energy_depleted
shaped,0.3,81150,16,0.9229311239742362,500,-1467.3999999999987,False,140,11,0,False,energy_depleted
shaped,0.3,81150,17,0.918316468354365,500,-1807.349999999998,False,186,10,0,False,energy_depleted
shaped,0.3,81150,18,0.9137248860125932,500,-1309.2250000000013,False,151,3,0,True,energy_depleted
shaped,0.3,81150,19,0.9091562615825302,500,-1626.6999999999987,False,155,16,0,False,energy_depleted
shaped,0.3,81150,20,0.9046104802746175,500,-1330.2250000000017,False,131,5,3,False,energy_depleted
shaped,0.3,81150,21,0.9000874278732445,500,-1204.4249999999975,False,109,7,0,False,energy_depleted
shaped,0.3,81150,22,0.8955869907338783,500,-1108.9249999999988,False,126,11,0,True,energy_depleted
